GEOID20,county,mep_published,mep_harm_lo,mep_harm_hi,rank_published,rank_harm
120570064002,Hillsborough,13088.5127,11081.4038,11072.6572,204,208
120570064003,Hillsborough,13414.3504,11075.6617,11065.2098,186,209
120570064004,Hillsborough,13200.5777,11118.4099,11109.4350,199,205
120570065011,Hillsborough,12418.0806,10613.0876,10605.6246,230,240
120570065012,Hillsborough,12957.1312,11003.0654,10995.1339,211,215
120570065013,Hillsborough,13094.3221,10903.1992,10893.6488,203,216
120570065031,Hillsborough,10457.8540,10072.1148,10072.1148,423,290
120570065032,Hillsborough,10474.4534,10107.6566,10107.6166,418,286
120570065033,Hillsborough,11216.2691,10825.6067,10825.5667,318,227
120570065041,Hillsborough,12167.2943,10744.0414,10738.3984,237,231
120570065042,Hillsborough,11861.9056,10796.5070,10792.8115,264,229
120570066001,Hillsborough,13744.1644,11195.4418,11183.6213,174,196
120570066002,Hillsborough,11039.8988,10489.8222,10489.4870,336,253
120570066003,Hillsborough,13348.4018,11025.5284,11015.2329,194,213
120570067001,Hillsborough,14202.5535,11162.0584,11148.6312,154,203
120570067002,Hillsborough,13375.0164,10506.7938,10493.0272,191,252
120570067003,Hillsborough,13809.3983,10882.6607,10869.7618,171,218
120570067004,Hillsborough,12610.9629,10207.1817,10195.7356,224,277
120570067005,Hillsborough,13146.2493,10324.4725,10311.8017,201,262
120570067006,Hillsborough,12730.9199,10586.0376,10576.3385,219,244
120570068011,Hillsborough,13366.9773,11294.9057,11285.7791,192,190
120570068012,Hillsborough,12156.5950,10208.3247,10199.5050,238,276
120570068013,Hillsborough,12534.4081,10589.1743,10580.5604,226,243
120570068014,Hillsborough,11608.1898,9760.7122,9752.5432,286,342
120570068015,Hillsborough,11930.0675,10175.4342,10167.7204,255,281
120570068021,Hillsborough,11092.4518,9396.4382,9389.1302,328,394
120570068022,Hillsborough,11887.9019,9906.9203,9898.0118,260,319
120570068023,Hillsborough,11256.3584,9592.0957,9584.6577,311,363
120570069001,Hillsborough,7885.9189,7664.9338,7664.9283,994,763
120570069002,Hillsborough,8216.6949,7371.4261,7368.3214,926,842
120570069003,Hillsborough,10331.0342,8926.7445,8920.3750,438,481
120570069004,Hillsborough,10495.3701,9704.4915,9701.9918,413,350
120570069005,Hillsborough,10371.8542,8898.3755,8892.0106,431,487
120570069006,Hillsborough,10405.1956,8899.2498,8892.5598,428,486
120570070011,Hillsborough,12464.7041,10657.1879,10649.6130,228,235
120570070012,Hillsborough,11974.6691,10200.5358,10193.1083,253,278
120570070013,Hillsborough,11638.9329,9982.1711,9975.2080,283,307
120570070014,Hillsborough,10276.6623,9124.4817,9120.0097,446,443
120570070021,Hillsborough,9816.7036,8783.8953,8779.9553,530,515
120570070022,Hillsborough,8395.9176,7495.3763,7491.9804,887,807
120570070023,Hillsborough,9128.4564,8801.8796,8801.8256,705,510
120570071021,Hillsborough,8737.2042,7805.4431,7802.4347,809,722
120570071022,Hillsborough,9843.9402,8640.9098,8636.6541,524,546
120570071031,Hillsborough,12129.3160,10573.0993,10567.1550,239,245
120570071032,Hillsborough,11235.8275,9937.9830,9933.3287,313,315
120570071033,Hillsborough,9523.7017,8407.3727,8403.2806,599,598
120570072001,Hillsborough,8619.7367,7739.5668,7736.7322,841,739
120570072002,Hillsborough,6455.5129,6011.8173,6010.8274,1234,1180
120570072003,Hillsborough,8183.0362,7460.6546,7458.3232,933,818
120570073001,Hillsborough,4646.6130,4465.7268,4465.5353,1503,1463
120570073002,Hillsborough,6334.0722,6034.3261,6033.7899,1251,1173
120570073003,Hillsborough,5288.0822,5052.7123,5052.2763,1417,1365
120570101051,Hillsborough,4790.1917,4466.4131,4466.3923,1485,1462
120570101052,Hillsborough,4118.1635,3902.6143,3902.6016,1602,1567
120570101053,Hillsborough,4628.5845,4259.7272,4259.6328,1510,1505
