roadway,begin_post,end_post,facility,match_m,class_is_a_guess
14120000,11.515,12.438,principal arterial,117,no
10000645,6.042,7.76,minor arterial,60,no
14000043,0.0,2.005,minor arterial,54,no
08000009,9.593,11.546,minor arterial,91,no
10190500,0.0,3.092,collector,75,no
15513000,0.0,2.753,minor arterial,156,no
10000033,0.0,2.079,collector,131,no
02030000,5.66,8.055,collector,780,yes
15030000,0.0,0.789,principal arterial,63,no
14680000,0.794,3.124,principal arterial,553,yes
08020000,7.259,11.91,freeway,1126,yes
10210000,0.0,10.145,principal arterial,974,yes
15020000,13.839,15.225,collector,167,no
10000300,0.48,3.25,collector,119,no
10040000,11.166,11.614,principal arterial,87,no
10000362,0.0,1.534,collector,114,no
15045101,0.0,0.764,principal arterial,40,no
10130000,2.96,3.748,principal arterial,62,no
02030000,13.524,14.648,freeway,79,no
15000089,4.297,5.053,principal arterial,6,no
10075363,0.0,1.667,collector,17,no
10040000,12.378,13.393,principal arterial,33,no
15030000,1.548,2.888,principal arterial,3,no
15020000,7.39,9.309,minor arterial,205,no
15070000,4.136,5.217,collector,111,no
10140000,8.048,9.371,principal arterial,38,no
15507000,0.0,7.425,minor arterial,36,no
15030000,8.505,9.3,freeway,81,no
10260000,0.478,1.083,principal arterial,25,no
08000016,0.0,1.671,minor arterial,398,no
14000039,0.0,1.185,collector,352,no
10000645,11.18,11.777,minor arterial,301,no
10000002,0.0,4.113,minor arterial,70,no
14000016,0.0,3.015,collector,39,no
02090000,0.0,6.184,minor arterial,1460,yes
10080000,0.983,1.736,principal arterial,24,no
10030000,21.501,24.593,principal arterial,32,no
10000112,1.548,5.334,collector,220,no
10340000,0.756,1.265,collector,19,no
15000187,0.0,2.465,collector,73,no
10340000,10.752,11.892,minor arterial,17,no
02030000,0.0,1.914,freeway,421,no
15030000,10.029,10.666,principal arterial,21,no
15000089,5.053,7.631,minor arterial,147,no
10090000,4.117,5.113,minor arterial,6,no
10000632,0.0,8.281,collector,739,yes
10110000,16.491,19.498,freeway,111,no
14130000,0.851,1.602,principal arterial,61,no
10260000,2.695,3.681,principal arterial,88,no
14030020,0.0,0.859,minor arterial,75,no
02010000,11.685,12.215,principal arterial,204,no
08000029,0.0,3.683,minor arterial,182,no
10200000,4.272,10.934,principal arterial,368,no
02030000,1.914,5.66,freeway,195,no
15150000,29.68,31.275,freeway,11,no
15000079,0.0,2.917,collector,256,no
15061000,1.764,2.693,principal arterial,17,no
15090000,0.895,1.891,principal arterial,22,no
08000017,4.161,7.089,collector,699,yes
10060000,14.269,17.212,principal arterial,119,no
10070000,0.0,2.02,principal arterial,15,no
10090000,5.638,7.738,minor arterial,387,no
10160000,9.162,9.539,principal arterial,24,no
10000107,0.957,6.302,minor arterial,175,no
15060000,0.25,1.884,minor arterial,28,no
14000116,1.023,4.286,collector,1034,yes
02000046,0.0,6.836,collector,1391,yes
10472503,0.0,1.313,freeway,111,no
10340000,7.285,8.084,principal arterial,21,no
10150000,10.814,12.345,principal arterial,34,no
10130000,5.0,6.796,principal arterial,10,no
14120000,21.393,23.381,principal arterial,160,no
08520000,0.0,9.267,minor arterial,738,yes
10150000,9.484,10.814,principal arterial,8,no
15045000,0.606,1.402,collector,36,no
02030000,9.83,12.251,freeway,143,no
14610000,1.004,2.626,principal arterial,32,no
15004501,0.0,6.154,minor arterial,140,no
10000112,0.0,1.548,minor arterial,230,no
10030000,1.002,2.267,principal arterial,25,no
14000071,0.0,2.68,collector,184,no
08507000,0.0,9.283,collector,931,yes
10240000,1.771,2.884,collector,127,no
10000272,0.0,0.732,minor arterial,143,no
10003100,0.431,1.344,minor arterial,111,no
15010000,16.559,17.066,principal arterial,6,no
10340000,4.31,5.578,principal arterial,11,no
10130000,4.259,5.0,principal arterial,32,no
10060000,4.491,7.603,principal arterial,58,no
02580000,0.0,7.115,collector,167,no
10000067,0.0,3.262,collector,518,yes
15070000,5.217,6.153,principal arterial,99,no
10340000,1.265,2.653,principal arterial,21,no
15000308,0.267,5.525,collector,80,no
10000049,0.602,2.524,collector,147,no
10130000,8.521,9.137,principal arterial,47,no
15008500,0.0,4.122,minor arterial,25,no
15007000,3.041,3.785,principal arterial,4,no
15530000,2.195,4.517,principal arterial,40,no
14090000,12.313,16.075,collector,167,no
14090000,22.458,25.267,collector,331,no
15035000,3.694,4.192,freeway,17,no
10360000,0.0,0.282,minor arterial,3,no
10120000,2.774,5.042,minor arterial,28,no
15030000,8.098,8.505,principal arterial,24,no
14030000,2.511,3.028,freeway,23,no
10000196,0.0,1.448,collector,251,no
15000151,0.897,2.388,minor arterial,46,no
08090000,0.0,3.108,minor arterial,566,yes
10110000,0.0,1.2,principal arterial,56,no
08000008,0.0,4.825,minor arterial,368,no
10040000,13.393,15.446,principal arterial,72,no
10030000,16.9,18.061,principal arterial,134,no
15000089,1.013,4.297,minor arterial,57,no
14000100,0.0,2.249,collector,486,no
10010000,16.7,18.495,collector,101,no
15040000,4.44,5.732,freeway,22,no
15000107,0.0,4.546,minor arterial,192,no
10000600,0.0,1.621,collector,111,no
10770000,0.0,4.771,minor arterial,20,no
08000050,5.383,9.951,collector,117,no
10509000,0.0,5.763,collector,573,yes
10526000,0.044,4.678,collector,1014,yes
15240000,1.56,1.842,freeway,41,no
10090000,12.409,14.111,minor arterial,71,no
15000017,0.0,2.011,minor arterial,118,no
15000180,0.0,4.086,collector,103,no
15090000,2.903,4.403,principal arterial,17,no
02010000,16.531,18.1,principal arterial,403,no
10110000,13.487,16.491,freeway,121,no
10075325,0.511,1.792,freeway,102,no
10533000,0.0,3.459,collector,278,no
10160000,0.0,1.035,principal arterial,10,no
15020000,3.206,5.082,collector,123,no
08040000,3.877,5.089,freeway,288,no
14050000,14.976,16.633,principal arterial,5,no
10504000,3.598,5.481,minor arterial,277,no
14070001,14.989,19.849,collector,230,no
15000084,0.0,1.738,collector,30,no
08510000,1.001,8.717,collector,1168,yes
10515000,0.0,1.644,collector,146,no
10330000,0.911,1.901,principal arterial,24,no
15090000,7.645,9.992,freeway,79,no
15502500,0.0,3.794,minor arterial,4,no
15000254,0.0,1.473,minor arterial,69,no
15140000,0.0,2.191,principal arterial,170,no
02590000,0.0,6.964,collector,1005,yes
10000218,0.0,2.02,collector,640,yes
15000272,0.0,2.937,collector,43,no
10260000,1.083,2.695,principal arterial,65,no
15000264,0.0,6.78,minor arterial,243,no
15061000,5.947,6.946,principal arterial,13,no
15010000,1.755,2.51,collector,7,no
14571000,2.945,3.282,principal arterial,7,no
10110000,9.439,9.706,freeway,46,no
14580000,0.0,3.019,collector,155,no
10822000,0.265,6.216,collector,294,no
15000260,0.0,1.757,freeway,66,no
10000036,0.0,2.256,collector,38,no
10000014,0.0,1.542,principal arterial,21,no
15000182,0.0,1.377,minor arterial,29,no
08050000,0.0,6.117,minor arterial,199,no
15030000,0.789,1.548,principal arterial,14,no
08000010,0.0,5.307,minor arterial,43,no
02070000,0.0,11.893,minor arterial,647,yes
10523000,0.0,4.525,collector,125,no
10535000,0.0,1.57,collector,11,no
10040000,11.614,12.378,principal arterial,29,no
15180500,0.0,2.327,minor arterial,50,no
15000409,0.0,4.304,collector,15,no
10250000,3.189,5.374,principal arterial,203,no
14000070,0.0,3.102,collector,183,no
02030000,8.055,9.83,freeway,419,no
02050000,0.0,2.378,freeway,648,yes
15150000,24.58,25.839,freeway,62,no
15000164,0.0,1.968,collector,208,no
10110000,4.099,5.048,principal arterial,13,no
14570101,0.0,0.386,principal arterial,34,no
08020000,11.91,13.975,freeway,503,yes
14010000,1.427,3.919,principal arterial,98,no
10180000,0.376,1.826,minor arterial,34,no
10525503,0.0,2.023,minor arterial,15,no
14091000,10.613,13.609,principal arterial,167,no
15200001,1.424,2.97,principal arterial,58,no
10000009,0.0,3.795,minor arterial,327,no
15000064,0.0,3.376,collector,241,no
10000270,0.0,4.898,minor arterial,94,no
15009000,1.296,2.063,minor arterial,34,no
15230000,1.129,2.171,principal arterial,31,no
14000009,0.0,3.075,collector,202,no
15020000,1.126,2.59,minor arterial,301,no
10020000,9.682,11.211,principal arterial,90,no
10010000,18.829,20.141,principal arterial,52,no
15240000,0.0,0.66,principal arterial,26,no
10120000,1.69,2.774,minor arterial,4,no
10160000,6.818,9.162,principal arterial,38,no
10000604,0.0,0.664,minor arterial,79,no
10000221,0.0,1.5,collector,62,no
