GEOID20,county,TotPop,AutoOwn0,HH_est,zero_car_share,no_transit,transit_share,A_drive,A_transit
120570010012,Hillsborough,2380,176,664,0.26506024096385544,False,0.5838411979801498,124280,174356.0
120570010021,Hillsborough,1450,64,558,0.11469534050179211,False,0.5925146538309589,101080,146978.0
120570010022,Hillsborough,1047,45,370,0.12162162162162163,False,0.6199721325693487,106914,174418.0
120570010023,Hillsborough,755,54,342,0.15789473684210525,False,0.6155680962864281,108790,174199.0
120570010024,Hillsborough,1965,220,655,0.33587786259541985,False,0.6145678690189469,109302,174281.0
120570011001,Hillsborough,643,5,255,0.0196078431372549,False,0.3112228971460445,134596,60817.0
120570011002,Hillsborough,858,12,356,0.033707865168539325,False,0.3460889669474791,131801,69757.0
120570011003,Hillsborough,1097,11,368,0.029891304347826088,False,0.3269666882086834,114557,55653.0
120570012001,Hillsborough,392,0,164,0.0,False,0.499078581548196,141075,140556.0
120570012002,Hillsborough,1329,118,574,0.20557491289198607,False,0.4328234213364221,142004,108366.0
120570012003,Hillsborough,817,78,355,0.21971830985915494,False,0.3741234906879078,131297,78484.0
120570013001,Hillsborough,1799,504,935,0.5390374331550802,False,0.4936851968003964,130772,127510.0
120570013002,Hillsborough,1039,40,435,0.09195402298850575,False,0.4899194633969985,132624,127382.0
120570013003,Hillsborough,1036,0,353,0.0,False,0.4158000150843466,139424,99234.0
120570013004,Hillsborough,1057,19,307,0.06188925081433225,False,0.5020399821067733,129129,130187.0
120570013005,Hillsborough,1330,0,513,0.0,False,0.4158098916201311,134324,95608.0
120570014001,Hillsborough,1959,45,584,0.07705479452054795,False,0.4246342232826378,129497,95572.0
120570014002,Hillsborough,1102,8,395,0.020253164556962026,False,0.4728291338038444,137289,123137.0
120570014003,Hillsborough,1103,42,451,0.09312638580931264,False,0.5168354210856312,144874,154970.0
120570014004,Hillsborough,624,7,226,0.030973451327433628,False,0.52157408621565,142292,155125.0
120570015001,Hillsborough,837,0,277,0.0,False,0.5118268765177248,134087,140584.0
120570015002,Hillsborough,686,6,333,0.018018018018018018,False,0.4317538011672672,143027,108672.0
120570015003,Hillsborough,1063,10,478,0.02092050209205021,False,0.3673294472939075,140990,81859.0
120570016001,Hillsborough,531,33,255,0.12941176470588237,False,0.4387884182908546,143742,112386.0
120570016002,Hillsborough,743,10,417,0.023980815347721823,False,0.4309373466900885,143834,108922.0
120570016003,Hillsborough,390,6,181,0.03314917127071823,False,0.4486297979913348,144824,117838.0
120570017001,Hillsborough,1061,13,421,0.030878859857482184,False,0.4959613457582974,124242,122251.0
120570017002,Hillsborough,831,8,309,0.025889967637540454,False,0.3671977384676411,126027,73130.0
120570017003,Hillsborough,861,9,306,0.029411764705882353,False,0.5873848912618479,122413,174263.0
120570017004,Hillsborough,1042,79,465,0.16989247311827957,False,0.5159514794558968,124263,132453.0
120570017005,Hillsborough,435,18,242,0.0743801652892562,False,0.5036901433367819,129049,130968.0
120570018001,Hillsborough,654,36,261,0.13793103448275862,False,0.597902349574129,117314,174441.0
120570018002,Hillsborough,1710,233,603,0.3864013266998342,False,0.6223937120400143,105692,174208.0
120570018003,Hillsborough,778,10,279,0.035842293906810034,False,0.5992542473160815,116502,174211.0
120570018004,Hillsborough,919,38,255,0.14901960784313725,False,0.5863722605844311,122737,173996.0
120570018005,Hillsborough,532,86,220,0.39090909090909093,False,0.5745158015789775,126165,170356.0
120570019001,Hillsborough,808,17,251,0.06772908366533864,False,0.5981974881346058,117252,174563.0
120570019002,Hillsborough,1649,139,510,0.2725490196078431,False,0.4298913646963023,123221,92915.0
120570019003,Hillsborough,1088,33,240,0.1375,False,0.560838990632565,133519,170513.0
120570020001,Hillsborough,1079,42,333,0.12612612612612611,False,0.5752672017856376,128635,174226.0
120570020002,Hillsborough,981,45,315,0.14285714285714285,False,0.4711904732804524,129800,115657.0
120570020003,Hillsborough,1246,43,287,0.14982578397212543,False,0.4618836242392592,133956,114979.0
120570021001,Hillsborough,712,0,310,0.0,False,0.566135743076323,133474,174166.0
120570021002,Hillsborough,871,28,291,0.09621993127147767,False,0.4670476059606693,139625,122359.0
120570021003,Hillsborough,1573,110,465,0.23655913978494625,False,0.5291632664431531,143665,161462.0
120570022001,Hillsborough,727,35,314,0.11146496815286625,False,0.4499750948312196,143551,117439.0
120570022002,Hillsborough,571,23,254,0.09055118110236221,False,0.4516205373672136,143665,118316.0
120570022003,Hillsborough,583,26,246,0.10569105691056911,False,0.5039043503848596,160162,162683.0
120570023001,Hillsborough,1441,22,615,0.03577235772357724,False,0.4370425360653618,134982,104791.0
120570023002,Hillsborough,696,24,288,0.08333333333333333,False,0.5316152018230225,144085,163536.0
120570023003,Hillsborough,1327,26,546,0.047619047619047616,False,0.5037571614403145,143438,145610.0
120570024001,Hillsborough,459,18,194,0.09278350515463918,False,0.5286821441925287,138657,155533.0
120570024002,Hillsborough,1340,38,619,0.061389337641357025,False,0.5068065237406287,149990,154130.0
120570024003,Hillsborough,1507,147,740,0.19864864864864865,False,0.4027641378612704,141696,95557.0
120570024004,Hillsborough,520,9,202,0.04455445544554455,False,0.5373390932495528,159042,184713.0
120570025001,Hillsborough,1881,137,811,0.16892725030826142,False,0.4932718354198697,138428,134752.0
120570025002,Hillsborough,1485,35,488,0.07172131147540983,False,0.2947264976319058,155017,64780.0
120570025003,Hillsborough,1610,110,770,0.14285714285714285,False,0.5809871290147267,126443,175321.0
120570025004,Hillsborough,1659,105,811,0.12946979038224415,False,0.4875068581571728,158796,151054.0
120570026001,Hillsborough,541,63,282,0.22340425531914893,False,0.4302759825186926,141573,106921.0
120570026002,Hillsborough,600,43,247,0.17408906882591094,False,0.3565194661864862,132936,73653.0
120570027001,Hillsborough,1467,165,765,0.21568627450980393,False,0.5313446239220788,162824,184604.0
120570027002,Hillsborough,1364,99,530,0.18679245283018867,False,0.4438403974451934,160308,127933.0
120570027003,Hillsborough,1187,73,460,0.15869565217391304,False,0.3545942256387632,155071,85198.0
120570027004,Hillsborough,1147,29,513,0.056530214424951264,False,0.3525819820344098,155750,84821.0
120570027005,Hillsborough,1808,100,629,0.1589825119236884,False,0.2853364892236965,157008,62687.0
120570028001,Hillsborough,620,10,275,0.03636363636363636,False,0.4858074271069027,143850,135909.0
120570028002,Hillsborough,1014,0,356,0.0,False,0.3603943563149633,142208,80129.0
120570028003,Hillsborough,684,11,346,0.031791907514450865,False,0.3620231886556614,148017,83993.0
120570028004,Hillsborough,999,0,480,0.0,False,0.4239079113518657,157397,115818.0
120570029001,Hillsborough,712,46,276,0.16666666666666666,False,0.487798132699464,146312,139341.0
120570029002,Hillsborough,1024,44,334,0.1317365269461078,False,0.4241426980530701,149959,110451.0
120570029003,Hillsborough,537,34,186,0.1827956989247312,False,0.5168808030753905,151311,161885.0
120570030001,Hillsborough,742,19,333,0.057057057057057055,False,0.4179048165843056,141941,101904.0
120570030002,Hillsborough,1235,163,370,0.44054054054054054,False,0.5118526703036619,155513,163065.0
120570030003,Hillsborough,670,38,281,0.13523131672597866,False,0.4713909903655378,155327,138514.0
120570031001,Hillsborough,802,45,280,0.16071428571428573,False,0.4605218377765173,142665,121785.0
120570031002,Hillsborough,730,17,220,0.07727272727272727,False,0.4334040077157295,142168,108748.0
120570031003,Hillsborough,599,34,193,0.17616580310880828,False,0.402690860848542,136871,92275.0
120570031004,Hillsborough,606,142,271,0.5239852398523985,False,0.4131898039025101,144894,102024.0
120570032001,Hillsborough,1285,113,444,0.2545045045045045,False,0.4821171281201655,146290,136187.0
120570032002,Hillsborough,736,117,353,0.3314447592067989,False,0.53486893042805,151389,174087.0
120570032003,Hillsborough,712,9,217,0.041474654377880185,False,0.4669669563993384,151472,132698.0
120570033001,Hillsborough,760,50,271,0.18450184501845018,False,0.5337446478972396,145702,166792.0
120570033002,Hillsborough,886,179,459,0.3899782135076253,False,0.5189341077370331,153397,165472.0
120570033003,Hillsborough,270,27,151,0.17880794701986755,False,0.5083844343935533,161303,166805.0
120570034001,Hillsborough,863,63,265,0.23773584905660378,False,0.5469663209528237,141308,170607.0
120570034002,Hillsborough,636,121,296,0.40878378378378377,False,0.5823520984554931,122441,170727.0
